"date","product_id","price","company"
2020-11-28,NT550XCJ-KC24,"746,250원",SAMSUNG
2020-11-28,NT550XCR-AD1WA,"498,990원",SAMSUNG
2020-11-28,NT550XCR-AD2A,"589,000원",SAMSUNG
2020-11-28,NT550XCR-AD5A + NVMe SSD 512GB,"989,000원",SAMSUNG
2020-11-28,NT550XCR-GD5A,"1,218,990원",SAMSUNG
2020-11-28,NT950XCR-G58A,"1,574,280원",SAMSUNG
2020-11-29, DM500S9Z-AD3BA,"549,000원",SAMSUNG
2020-11-29, FA506IU-HN174,"1,199,000원",ASUS
2020-11-29, GA502IV-AZ001T,"1,699,000원",ASUS
2020-11-29, NT750QCJ-K58A,"1,797,990원",SAMSUNG
2020-11-29, NT950XCJ-X716A,"2,118,400원",SAMSUNG
2020-11-29,"15M A10SE-i7","1,649,990원",MSI
2020-11-29,"15U50N-KR56K","1,082,700원",LG
2020-11-29,"15UD50N-GX50K","872,690원",LG
2020-11-29,"15ZD90N-VX5BK","1,362,990원",LG
2020-11-29,"17UD70N-G.AX76K","1,735,450원",LG
2020-11-29,"800G5 TWR 6BD60AV","1,123,660원",HP
2020-11-29,AS G512LI-HN065,"1,769,000원",ASUS
2020-11-29,B80FV,"1,533,470원",LG
2020-11-29,DB400T9A i5-9400,"1,100,000원",SAMSUNG
2020-11-29,FA706IU-H7100,"1,448,980원",ASUS
2020-11-29,G512LU-AL043,"1,399,000원",ASUS
2020-11-29,G712LU-EV001,"1,348,990원",ASUS
2020-11-29,G731GT-H7114,"1,149,000원",ASUS
2020-11-29,GA502IU-AZ015T,"1,598,950원",ASUS
2020-11-29,GA502IV-AZ001,"1,698,990원",ASUS
2020-11-29,GF75 Thin 9SCXR,"1,123,000원",MSI
2020-11-29,GP75 Leopard 9SD,"1,349,000원",MSI
2020-11-29,GU502LV-AZ015,"46,240원",ASUS
2020-11-29,GU502LW-HC111T,"2,643,350원",ASUS
2020-11-29,GX550LWS-HC013R,"4,198,990원",ASUS
2020-11-29,GX550LWS-HF046R,"3,799,000원",ASUS
2020-11-29,GX701LXS-HG032T,"3,956,900원",ASUS
2020-11-29,LG 15ZD90N-V.AX7BK,"1,641,140원",LG
2020-11-29,MHK33KH/A,"1,804,200원",APPLE
2020-11-29,NT350XCR-AD5WA,"848,000원",SAMSUNG
2020-11-29,NT550EBV-AD5BA,"880,980원",SAMSUNG
2020-11-29,NT550XCJ-KC24,"746,360원",SAMSUNG
2020-11-29,NT550XCR-AD1WA,"498,990원",SAMSUNG
2020-11-29,NT550XCR-AD2A,"589,000원",SAMSUNG
2020-11-29,NT550XCR-AD5A + NVMe SSD 512GB,"998,000원",SAMSUNG
2020-11-29,NT550XCR-GD5A,"1,219,000원",SAMSUNG
2020-11-29,NT950XCR-G58A,"1,574,280원",SAMSUNG
2020-11-30, DM500S9Z-AD3BA,"549,000원",SAMSUNG
2020-11-30, FA506IU-HN174,"1,199,000원",ASUS
2020-11-30, GA502IV-AZ001T,"1,698,920원",ASUS
2020-11-30, NT750QCJ-K58A,"1,797,990원",SAMSUNG
2020-11-30, NT950XCJ-X716A,"2,118,400원",SAMSUNG
2020-11-30,"15M A10SE-i7","1,528,820원",MSI
2020-11-30,"15U50N-KR56K","1,070,920원",LG
2020-11-30,"15UD50N-GX50K","872,690원",LG
2020-11-30,"15ZD90N-VX5BK","1,362,990원",LG
2020-11-30,"17UD70N-G.AX76K","1,735,450원",LG
2020-11-30,"800G5 TWR 6BD60AV","1,123,660원",HP
2020-11-30,AS G512LI-HN065,"1,769,000원",ASUS
2020-11-30,B80FV,"1,533,470원",LG
2020-11-30,DB400T9A i5-9400,"1,100,000원",SAMSUNG
2020-11-30,FA706IU-H7100,"1,448,990원",ASUS
2020-11-30,G512LU-AL043,"1,399,000원",ASUS
2020-11-30,G712LU-EV001,"1,348,990원",ASUS
2020-11-30,G731GT-H7114,"1,149,000원",ASUS
2020-11-30,GA502IU-AZ015T,"1,598,950원",ASUS
2020-11-30,GA502IV-AZ001,"1,698,990원",ASUS
2020-11-30,GF75 Thin 9SCXR,"1,123,000원",MSI
2020-11-30,GP75 Leopard 9SD,"1,349,000원",MSI
2020-11-30,GU502LV-AZ015,"46,240원",ASUS
2020-11-30,GU502LW-HC111T,"2,643,340원",ASUS
2020-11-30,GX550LWS-HC013R,"4,198,990원",ASUS
2020-11-30,GX550LWS-HF046R,"3,799,000원",ASUS
2020-11-30,GX701LXS-HG032T,"3,914,810원",ASUS
2020-11-30,LG 15ZD90N-V.AX7BK,"1,641,140원",LG
2020-11-30,MHK33KH/A,"1,804,200원",APPLE
2020-11-30,NT350XCR-AD5WA,"848,000원",SAMSUNG
2020-11-30,NT550EBV-AD5BA,"880,980원",SAMSUNG
2020-11-30,NT550XCJ-KC24,"746,190원",SAMSUNG
2020-11-30,NT550XCR-AD1WA,"498,990원",SAMSUNG
2020-11-30,NT550XCR-AD2A,"589,000원",SAMSUNG
2020-11-30,NT550XCR-AD5A + NVMe SSD 512GB,"998,000원",SAMSUNG
2020-11-30,NT550XCR-GD5A,"1,219,000원",SAMSUNG
2020-11-30,NT950XCR-G58A,"1,574,280원",SAMSUNG
